temperature;humidity;precipitation;windSpeed
25.0;90;53.2;5.2
23.5;92;2.0;6.0
28.7;86;49.0;8.2
27.2;91;17.7;3.9
25.1;71;0;7.9
24.3;77;0;8.5
27.7;84;0;5.1
26.7;95;26.0;7.3
23.5;92;2.5;6.4
22.3;73;0;5.2
24.4;63;0;5.0
26.2;66;0;7.9
29.1;78;0;7.5
25.6;74;0;9.4
21.2;97;124.0;6.4
22.6;90;0;7.8
25.7;79;0;0.6
27.5;65;0;8.1
27.6;67;0;8.1
27.2;62;0;15.6
27.2;63;0;2.7
27.1;58;0;3.4
26.2;66;0;3.5
26.9;67;0;5.6
23.6;66;0;6.4
18.0;59;0;5.8
20.3;63;0;4.2
22.9;64;0;7.7
24.7;59;0;9.1
26.6;55;0;8.4
28.8;66;0;7.4
21.8;88;14.0;4.9
24.4;76;0;7.5
26.2;67;0;6.4
22.0;83;31.5;8.2
20.9;76;0;8.4
19.8;72;0;4.9
22.2;65;0;6.2
24.9;60;0;7.4
25.0;74;5.1;5.8
24.9;86;0;4.9
23.1;91;30.6;7.5
22.5;91;5.7;10.4
19.9;90;1.7;9.6
22.8;88;6.5;3.5
25.0;76;0;3.0
25.5;81;0;4.9
24.8;83;15.8;10.4
21.1;91;52.6;2.8
22.9;81;0;3.7
27.1;80;0;4.1
27.6;83;0;4.9
26.6;78;7.5;2.4
28.9;80;8.5;3.2
30.0;72;0;3.2
29.1;71;0;4.4
28.0;75;0;5.4
28.7;77;2.3;4.3
27.4;78;0;3.2
27.9;79;0;4.0
28.0;77;0;8.9
22.8;88;6.0;6.4
21.2;80;0;4.6
21.8;75;0;6.5
24.5;75;0;4.9
25.0;65;0;8.5
24.2;78;0.4;9.5
23.6;88;12.0;5.1
19.9;61;0;5.8
20.6;68;0.2;6.0
18.5;63;0;5.5
19.6;66;0;5.1
21.3;63;0;7.7
18.5;96;0;4.4
16.4;79;24.9;5.5
17.4;65;0;4.1
18.6;69;0;4.8
19.9;69;0;7.6
20.6;75;0;5.6
22.2;78;0;4.1
