temperature;humidity;precipitation;windSpeed
17.5;54;0;8.5
19.4;56;0;7.2
21.9;62;0;8.9
25.7;67;1.3;7.9
23.8;88;15.2;4.0
24.4;84;0;4.6
26.5;77;0;5.7
27.5;73;0;7.5
27.0;72;0.2;6.7
27.8;63;0;8.7
25.7;56;0;8.9
25.3;56;0;7.7
25.5;53;0;7.0
25.7;54;0;6.6
26.6;59;0;5.3
27.0;63;0;4.4
26.5;69;0;7.1
25.2;66;0;5.9
24.0;70;0;8.7
23.6;60;0;7.7
22.9;58;0;7.9
26.6;60;0;5.0
27.9;66;0;4.7
26.9;77;7.4;10.4
21.7;63;0;8.2
21.9;51;0;5.1
23.4;61;0;7.0
26.2;65;0;5.0
27.8;53;0;3.9
28.8;51;0;6.3
24.3;82;10.2;6.5
29.4;64;0;7.5
27.1;70;0;6.5
22.8;49;0;8.3
17.8;61;0;6.5
24.8;54;0;7.8
24.5;49;0;7.6
25.7;58;0;6.3
26.6;58;0;6.5
27.3;55;0;5.0
28.8;65;0;6.3
26.3;73;16.4;3.7
28.0;63;0;6.9
25.1;70;7.5;9.2
24.5;74;0;5.7
27.0;61;0;6.1
27.5;73;0.6;10.4
22.2;83;21.5;8.7
19.1;92;17.9;7.5
17.2;91;4.1;7.7
17.5;96;4.2;5.8
21.5;83;0.5;6.5
22.5;75;0;9.5
24.2;77;0;9.5
23.4;89;8.9;6.9
18.7;78;0;7.4
17.1;65;0;5.9
20.0;63;0;6.8
21.9;60;0;11.7
24.2;62;0;12.5
22.5;84;43.8;10.1
17.1;90;0;6.5
16.7;75;0;2.8
19.4;68;0;4.7
22.0;69;0;3.1
23.0;65;0;10.6
25.4;72;0;5.3
26.0;81;13.9;6.0
23.1;77;0;6.7
22.3;76;1.9;6.8
20.1;81;0;6.3
16.3;84;0;6.1
14.6;85;0.2;5.7
16.2;76;0;6.0
16.4;69;0;7.3
14.9;72;0;5.9
17.6;67;0;7.3
18.0;88;17.2;4.6
20.0;90;0.8;5.8
20.6;83;0.2;5.1
21.9;69;0;4.0
22.9;78;0;5.2
21.0;70;0;6.0
21.7;76;0;5.1
18.4;65;0;7.3
20.0;56;0;5.8
20.6;61;0;6.0
21.0;68;0;6.9
22.6;71;0;6.3
25.0;68;0;8.0
22.8;90;10.8;4.6
20.4;95;4.0;9.9
18.4;83;0;4.0
18.4;76;0;2.5
21.0;68;0;3.1
20.5;67;0;7.2
15.6;50;0;4.1
17.7;47;0;5.4
19.7;56;0;10.2
20.6;77;0;8.6
18.2;97;74.5;8.0
16.4;76;0;6.7
12.8;57;0;3.2
18.0;67;0;4.3
21.8;63;0;4.6
21.9;61;0;6.4
19.5;70;0;5.2
18.9;69;0;6.0
20.1;63;0;6.0
20.2;63;0;6.6
21.6;61;0;7.6
21.5;69;0;6.4
21.6;72;0;6.1
21.9;68;0;7.4
22.1;65;0;6.2
21.9;63;0;9.9
22.8;80;30.2;8.8
19.8;83;18.2;4.9
17.9;76;0;3.8
19.6;77;0;8.7
19.1;91;19.9;7.1
20.7;95;23.1;11.2
19.9;84;24.0;6.4
17.8;80;0;3.6
18.1;72;0.2;3.6
19.6;71;0;6.6
12.9;65;0;5.1
16.5;71;0;9.2
18.0;70;0;9.0
20.2;73;0;7.8
19.2;71;0;7.3
18.4;82;0;5.2
18.3;95;0.5;3.2
17.6;93;0;8.6
11.2;71;2.4;8.8
8.5;62;0;5.8
9.9;58;0;7.1
10.6;89;7.9;5.2
10.7;95;0.5;6.3
10.3;94;0;3.2
11.4;85;0;3.7
11.3;86;0;4.1
12.3;85;0;1.6
13.6;83;0;2.8
14.4;85;0;7.6
14.9;82;0;6.6
16.9;80;0;10.2
21.1;85;0;9.4
16.0;71;3.1;6.9
14.5;57;0;10.9
17.6;58;0;7.6
16.4;72;0;4.4
12.4;72;0;3.1
13.6;65;0;6.1
16.7;64;0;6.4
18.9;61;0;8.8
12.1;68;0;5.4
13.5;71;0;5.6
