temperature;humidity;precipitation;windSpeed
21.3;84;0;5.0
24.0;65;0;4.3
26.5;58;0;6.1
29.2;45;0;13.1
27.4;60;0;8.2
22.7;57;0.6;6.5
24.8;47;0;5.7
26.3;43;0;8.1
26.8;54;0;6.4
29.2;63;0;5.6
29.9;60;0;5.2
30.1;70;0;8.9
25.5;85;1.3;11.4
19.2;94;2.2;9.1
22.5;69;0;6.4
25.6;66;0;6.7
23.6;79;0;7.6
24.4;66;0;4.8
27.2;53;0;6.0
27.5;58;2.8;5.5
25.3;69;0;4.5
26.8;57;0;3.9
28.5;60;0.2;7.2
25.2;63;0;9.7
23.2;53;0;8.6
26.1;56;0;7.3
27.6;81;4.5;5.8
25.9;57;0;8.2
25.2;45;0;8.9
27.3;43;0;6.6
27.6;54;0;6.1
28.3;56;0;5.6
30.0;49;0;7.3
29.2;54;0;7.5
29.6;52;0;7.3
29.4;57;0;6.0
29.6;47;0;5.7
30.3;51;0;4.6
30.2;61;1.7;6.5
26.0;79;17.3;6.3
25.0;77;0.2;4.9
21.2;73;2.8;8.8
19.4;58;0;5.2
21.2;50;0;6.1
24.5;42;0;8.5
26.1;55;0;9.0
28.3;54;0;7.6
28.7;55;0;5.6
29.0;70;0;7.0
28.7;76;0;4.9
24.5;64;0;11.2
21.4;65;0;7.3
22.5;64;0;6.6
23.9;45;0;7.2
25.4;55;0;8.4
25.4;64;0;7.4
25.5;71;1.4;4.9
26.6;55;0;5.5
27.0;64;0;5.7
26.6;62.0;0;4.4
27.1;60.0;0;5.9
27.0;68.0;0;6.0
27.5;75.0;0;4.4
24.3;71.0;0;8.9
21.3;53.0;0;8.0
21.3;44.0;0;6.1
23.8;40.0;0;4.9
25.4;47.0;0;6.3
27.5;52.0;0;11.7
22.3;74.0;1.3;6.2
19.6;52.0;0;6.8
24.9;51.0;0;5.4
26.4;53.8;0;9.2
20.8;38.7;0;8.8
20.3;47.5;0;8.3
27.1;71.0;0;10.5
22.6;73.5;7.1;11.9
18.8;55.9;0;2.6
22.1;52.0;0;6.5
19.2;58.0;0;9.8
20.9;62.0;0;7.3
24.7;67.0;0;8.5
23.5;55.0;0;13.5
15.2;64.0;0;8.0
17.3;53.0;0;6.8
19.2;62.0;0;5.4
22.2;69.0;0;5.3
24.5;64.0;0;5.1
26.8;54.0;0;5.3
27.6;57.0;0;5.4
25.5;75;0;5.3
20.9;89;4.2;4.6
23.2;79;6.2;4.6
23.9;66;0;5.1
24.7;55;0;5.7
22.2;85;5.8;6.1
21.4;94;18.2;7.2
22.7;86;14.5;7.5
25.5;74;0;12.5
27.4;62;0;14.6
29.6;67;0;13.7
18.8;68;0;9.8
13.5;73;1.5;4.0
19.2;76;0;7.0
21.5;81;0;5.7
22.5;74;0;8.8
24.2;74;0;8.4
26.2;70;0;8.1
26.5;73;0;17.4
22.1;91;63.5;5.3
25.2;83;0;7.0
26.7;80;54.4;8.0
22.3;90;2.1;4.4
21.8;90;0;6.7
24.3;83;0;7.4
25.1;80;0;11.1
27.0;74;0;7.0
26.6;74;0;6.9
25.8;82;7.7;9.7
19.6;98;19.3;10.7
17.6;96.0;10.2;11.4
18.7;99.0;47.8;7.4
18.9;98.6;24.1;7.1
18.7;95.3;30.6;7.9
19.8;92.4;0;6.5
20.9;93.5;0;9.2
21.6;93.5;1.5;8.3
19.5;96.0;33.7;5.9
20.0;98.0;1.9;6.3
18.1;96.0;30.1;11.0
17.0;78.0;0;6.6
17.0;79.0;0;4.1
16.8;81.0;0;9.0
18.5;86.0;0;5.5
17.2;79.9;0;8.0
12.8;73.0;0;4.3
14.4;83.0;0;6.9
13.8;85.0;0.3;5.3
12.8;84.7;0;5.9
12.2;80.9;0;3.7
13.5;85.0;0;3.6
12.3;70.0;0;2.2
13.2;72.3;0;3.2
12.5;75.3;0;5.2
13.9;69.6;0;7.6
16.2;79.5;0;8.1
21.2;79.5;0;11.1
24.8;70.3;0;15.2
22.1;73.1;0;10.0
18.2;89.9;4.6;14.2
12.5;91.7;0.5;14.6
10.1;82;0;7.7
7.8;79;0;4.5
9.0;70;0;5.1
10.9;78;0;2.5
10.8;73;0;3.4
12.8;77;0;5.1
9.9;78;0;5.8
11.3;71;0;10.9
14.3;74;0;9.6
17.0;86;0;8.2
15.8;86;4.0;9.3
10.2;87;2.5;11.7
7.0;86;0;4.0
4.9;85;0;3.4
6.8;71;0;3.4
7.7;71;0;5.6
9.5;71;0;9.1
12.0;64;0;10.0
15.3;60;0;8.0
18.8;79;0;8.6
14.2;58;0;7.5
10.5;54;0;6.1
13.9;64;0;9.1
5.8;58;0;3.4
9.6;61;0;2.5
10.9;57;0;6.9
13.5;70;0;8.3
14.7;86;0;6.5
17.0;81;0;6.5
16.4;86;0;8.9
17.3;92.3;0;2.2
13.5;87.5;16.5;2.9
6.3;75.9;0;1.5
8.7;75.2;0;1.7
9.0;86.0;0;1.0
10.3;95.6;0;2.8
9.4;89.2;0.3;4.3
10.2;87.7;0;2.4
9.0;88.6;0;1.2
10.2;79.0;0;2.6
9.8;79.3;0;1.9
11.2;80.7;0;1.6
13.9;71.1;0;2.2
19.3;67.0;0;2.3
15.9;67.5;0;3.1
11.5;70.4;0;2.3
11.7;86.0;0;1.1
13.0;98.1;0.2;2.6
10.4;96.0;22.5;4.6
8.2;79.7;10.4;1.9
9.3;56.5;0;3.5
12.0;70.6;0;2.0
6.5;69.3;0;7.0
7.5;66.9;0;5.6
7.8;98.3;0;8.3
10.1;98.7;0.5;3.2
10.2;96.6;0.8;2.5
11.7;93.9;1.0;6.3
13.2;78.4;0.5;4.0
11.2;66.3;0;5.7
7.9;69.0;0;6.8
8.6;61;0;6.7
8.5;71;0;5.4
8.7;83;0;3.8
9.6;75;0;4.7
11.8;63;0;8.2
15.1;55;0;17.6
17.1;62;4.4;14.3
10.0;83;5.1;20.0
6.4;82;0;5.6
8.0;77;0;5.1
11.6;72;0;10.4
14.7;77;0;10.0
17.1;79;0;11.1
12.9;68;0;7.8
11.1;60;0;6.3
14.0;62;0;11.6
17.0;71;0;8.7
19.4;77;20.7;15.1
8.1;78;10.8;8.9
5.7;73;0;5.1
8.2;60;0;6.9
9.8;74;0;12.4
12.2;81;0;10.7
13.0;69;0;12.5
8.4;63;0;5.8
13.1;50;0;11.2
16.2;49;0;12.1
18.5;45;0;9.6
16.3;73;0.5;12.2
15.2;94;0.4;13.5
8.7;87;8.6;12.8
9.5;94;8.2;10.0
12.0;87;0;4.5
13.8;85;0;5.5
15.5;74;0;11.1
16.8;61;0;14.8
19.0;56;0;8.0
21.8;58;0;6.6
21.5;63;0;8.5
19.3;75;0;9.1
17.4;80;0;9.8
17.5;74;0;11.1
18.7;81;0;5.8
15.3;94;3.7;3.9
14.5;88;0;4.5
15.7;88;0;2.9
17.4;84;0;3.0
19.2;75;0;4.7
21.0;68;2.4;10.9
16.8;72;3.1;6.6
17.8;46;0;9.5
22.3;69;0;8.8
27.3;72;0;11.1
23.4;71;0;10.6
19.3;50;0;8.8
19.0;77;0;6.2
21.3;80;0;8.5
18.6;79;0;10.3
22.6;79;0;13.4
24.1;79;0;10.5
20.9;88;0;10.3
14.3;66;0.5;9.0
12.0;62;0;4.9
15.8;44;0;3.7
17.3;63;0;6.1
16.6;49;0;8.1
18.4;58;0;7.9
19.4;52;0;7.2
24.8;72;11.6;8.7
20.8;72;2.3;8.4
17.1;48;0;8.1
12.5;75;1.6;9.8
11.7;94;27.8;4.6
14.6;74;0;5.1
18.4;60;0;2.6
18.8;68;0;7.6
21.5;69;0;8.3
24.6;65;0;7.3
23.9;79;0;8.8
20.3;73;0;10.2
19.0;69;0;10.6
19.9;69;8.5;5.6
18.0;79;6.1;5.9
17.9;71;0.9;7.6
18.0;75;0;6.8
19.1;78;0;7.6
18.7;80;13.2;4.6
18.9;70;0;4.7
19.8;67;0;5.8
21.7;66;0;8.3
23.6;75;0;7.2
19.3;81;0;6.5
17.4;70;0;8.5
21.8;64;0;7.7
23.7;63;0;8.2
24.3;45;0;9.9
21.2;79;9.6;4.7
21.6;78;0;6.5
21.0;40;0;10.1
22.3;62;0;7.0
27.4;64;0;13.0
29.3;63;0;11.1
24.1;82;218.9;14.6
22.8;85;29.2;14.4
19.9;87;0;5.9
20.5;57;0;4.5
23.0;62;0;7.5
22.5;70;0;10.8
23.0;79;5.5;7.8
18.3;54;0;5.1
20.6;63;0;4.5
21.9;67;0;12.9
25.1;69;0;9.6
24.5;80;56.8;12.6
17.2;91;0;9.2
19.4;74;0;7.3
21.0;50;0;8.7
19.2;70;8.0;5.9
16.8;83;11.6;9.0
21.2;76;0;6.6
20.3;73;0;4.8
21.8;75;6.3;7.1
19.8;68;3.0;8.8
15.4;63;0;5.9
19.6;62;0;4.7
24.5;56;0;7.6
20.1;57;0;7.9
19.8;60;0;8.1
18.0;58;0;6.3
20.5;46;0;10.2
23.4;62;0;8.7
26.3;61;0;9.5
25.4;83;22.0;8.5
23.6;83;0;7.9
27.1;77;0.3;13.2
23.9;87;32.5;6.6
22.0;63;0;6.9
25.5;71;0;9.3
24.9;88;29.5;6.8
20.8;85;0;4.6
22.5;80;0;4.0
25.4;71;20.0;6.5
21.8;73;0.3;7.3
24.5;69;0;4.3
25.1;53;0;6.2
25.2;54;0;8.5
26.0;65;0;5.9
27.8;62;0;7.4
25.7;85;2.2;7.2
29.1;74;0;6.4
28.1;76;0;9.1
23.1;72;7.0;9.3
25.9;66;0;7.8
