temperature;humidity;precipitation;windSpeed
25.1;70;15.2;10
26.5;71;3.5;6.8
29.3;64;1;6.6
27;66;0;7.5
23.7;49;0;9.6
23.3;45;0;8.4
26.1;46;0;8.3
26.9;46;0;8.4
28.9;47;0;7.7
25.9;40;0;5.9
31.8;34;0;6.1
34.1;35;0;7.8
34.1;30;0;6.9
33.7;33;0;10.2
35.2;45;1;12
30.3;69;8.9;11.6
25.5;90;24.7;6.9
23.1;90;32.8;6.8
25;81;0;3.9
31.2;69;0;8.6
32.2;61;0;12
25.2;73;3.1;10.1
22.5;91;33.2;4.9
24.3;86;1;5
24.5;92;8.8;6.4
27.2;83;4.2;10.3
20.3;72;0;6.9
21.3;63;0;5.7
23.3;58;0;6.6
23.5;56;0;3.4
25.3;59;0;8.6
27;57;0;7.7
30;55;0;8.1
25.4;84;3.8;5.4
24.6;85;0;5.6
21.3;74;0;12
18.7;68;0;7.1
19.3;71;0;6.9
21.9;59;0;7.1
24.2;50;0;8.5
25.4;53;0;9.8
23.4;68;1.6;16.7
18.3;69;0;8.8
18.8;60;0;3.2
23.8;48;0;5
26.7;39;0;8.5
30.1;40;0;7.6
24.8;70;0;7.7
23.6;64;0;5.9
27.2;65;0;8.8
23.2;74;0;9.5
22.1;68;0;6.7
23.2;63;0;6.6
25.6;55;0;11.6
23.7;85;26.9;4.6
23.7;80;0;8.3
28.4;76;0;10.9
28.5;77;31.8;8.9
24.8;76;1.6;5.2
21.2;55;0;4.5
24.2;64;0;4.8
26.1;59;0;8.9
24.1;89;51.5;8.5
22.7;99;51.5;5.1
24.5;89;0;6.5
20.8;83;13.5;3.8
20.8;69;0;6.9
20;95;33;8.6
20.4;84;0;4.9
20.6;67;0;5.5
20.4;65;0;6.6
20.5;58;0;3.4
21.8;62;0;3.5
23.6;66;0;6.3
23.8;61;0;5.6
26.1;62;0;6.4
21.3;89;6.6;5.6
15.3;68;0;5.6
17.4;59;0;13.3
20.1;64;0;9.7
21.5;91;13.5;6.8
23.1;91;17.8;6.9
17.1;67;4.3;11.9
16.5;80;0;8.7
20.4;78;0;2.6
21.4;73;0;5.6
22.6;67;0;9.2
25.1;69;2.3;12.2
13.7;49;0;6.6
11.9;52;0;4.5
14.7;52;0;7.8
16.7;59;0;9.5
20.8;81;1;5.1
16.4;58;0;3.2
20;60;0;7.4
22.9;75;0;5.4
23.7;79;0;5
23.1;81;0;5.3
23.3;72;0;7.6
23.5;79;0;9.1
19.7;84;25.5;5.3
17.4;72;0;4.7
14.7;60;0;4
17.2;58;0;5.4
16.6;60;0;7
17.6;63;0;5.3
19.1;62;0;4.6
19.1;68;0;3.8
19.2;72;0;5.9
20.4;74;23.5;6.5
18.4;83;0;4.1
14.4;97;21.1;4.9
14.6;76;0;8.8
19.9;69;3.9;9.2
23.4;89;0.5;7.9
23.4;87;0;11.5
19.6;80;19;5.4
16;62;2.8;5.8
11.9;57;0;5
11.7;74;0;4.3
14.5;69;0;5.2
13.9;74;0;4.5
13.1;68;0;4.3
15.9;70;0;3.8
16.5;76;0;5.5
18.1;84;0;4.2
18.8;82;0;7.5
18.6;72;0;4.2
17.2;76;0;2.9
17.6;79;0;3.2
16.9;80;0;6.2
14.7;77;0;8.3
15.3;82;0;3.6
15;73;0;5.8
12.5;65;1.5;8
9.9;75;0;13.1
10.7;76;0;11
10;79;0;5
11;77;0;5.4
13.4;77;0;7.6
15.5;79;0;3.8
16.1;77;0;7.4
16.5;73;0;7.1
17.4;76;1.4;6.9
15.2;91;2.3;10.7
12.2;80;0;5.4
13.7;86;0;3.6
12.9;90;0;4.7
8.8;68;0;6.1
7;58;0;4.9
7.2;60;0;3
