temperature;humidity;precipitation;windSpeed
26.1;68;0.1;6.9
25.6;66;0;6.8
25.5;71;0;8.1
26.0;77;4.0;8.1
23.8;71;0;5.4
25.2;62;0;4.3
26.3;65;4.2;4.2
27.1;73;0;4.9
25.4;66;0;8.1
20.0;73;0;4.9
23.7;66;0;5.8
23.8;69;0;7.2
26.8;60;0;4.3
28.3;55;0;8.4
29.5;52;0;11.2
28.9;71;10.4;11.9
22.5;60;0;3.4
25.0;62;0;11.0
26.0;81;62.0;9.2
22.7;62;0.0;8.0
23.7;51;0;7.3
25.8;57;0;7.3
28.4;61;0;5.4
29.5;67;0;6.3
27.5;87;15.9;8.3
25.9;88;15.3;3.0
27.2;76;0;3.1
28.2;77;0.9;4.2
27.7;74;0;6.5
27.2;79;0;6.7
24.3;95;35.8;5.4
22.4;58;0;7.3
23.5;61;0;7.8
26.5;69;0;6.6
25.4;54;0;6.3
26.7;60;0;7.2
24.0;67;0;9.2
23.0;91;32.8;10.4
19.5;90;11.9;9.6
21.5;80;0;7.4
21.2;80;0;4.6
23.2;73;0.2;4.4
25.1;74;0;3.7
24.7;78;0;6.2
25.3;52;0;6.9
23.7;56;0;7.8
24.5;65;0;6.1
28.2;74;0;6.8
24.5;92;11.5;9.3
22.9;90;0;9.1
22.5;91;0.2;5.6
25.4;80;0.2;6.2
24.5;89;21.9;6.7
22.7;87;0.1;8.7
22.1;82;0;8.5
22.0;81;0;4.9
22.2;66;0;4.5
24.3;62;0;4.1
24.1;59;0;7.3
22.6;67;0;9.2
22.4;66;0;6.4
25.0;67;0;6.8
25.0;66;0;6.6
23.9;66;0;7.8
23.8;70;0;7.2
26.0;67;0;3.4
26.1;64;0;3.7
27.5;59;0;6.2
27.7;66;0;5.8
27.5;61;0;6.7
23.2;81;41.0;12.6
14.8;68;0;6.6
16.2;60;0;5.6
19.7;61;0;6.3
22.4;61;0.1;4.1
21.9;83;2.2;3.9
19.8;57;0;6.3
20.3;51;0;5.3
20.6;54;0;4.9
22.7;57;0;5.6
24.2;80;0;8.6
16.0;93;83.6;9.7
17.3;86;0;5.7
18.9;94;23.6;7.9
18.5;80;0.6;8.9
16.4;67;0;4.5
18.2;64;0;6.5
19.3;61;0;6.6
20.5;66;0;4.4
22.8;75;0;3.2
23.8;70;0;5.0
22.1;70;0;5.2
24.2;74;5.0;6.7
19.4;57;0;4.5
19.4;59;0;3.0
22.2;68;0;5.6
23.7;69;0;7.0
19.0;68;0;8.9
17.8;70;0;7.6
19.1;71;0;6.2
21.2;66;0;3.6
20.9;71;0;4.4
22.1;78;0;10.7
17.6;71;0.8;7.4
16.3;70;4.2;7.4
17.7;80;0;9.6
16.7;73;8.8;7.4
15.1;65;0;3.8
17.4;59;0.7;7.3
16.2;97;23.9;4.3
15.9;95;0;6.0
21.1;87;0;9.7
15.1;54;0;5.7
15.7;64;0;6.3
19.6;56;0;4.4
19.4;58;0;8.5
19.7;64;0;7.9
20.8;72;0;8.1
15.6;95;29.9;7.3
13.3;87;0.1;7.4
12.0;76;0.9;12.1
10.0;71;0;4.7
12.1;71;0;6.0
14.3;70;0;7.3
17.3;72;0;3.0
17.0;67;0;4.3
16.8;70;0;5.5
16.6;73;0;10.4
14.2;74;0;6.3
17.5;89;0;6.8
18.7;95;0;5.2
20.2;79;0;8.7
14.1;89;63.1;9.8
15.2;91;1.3;5.3
14.4;79;0;6.7
14.8;79;0;8.7
15.2;72;0;7.6
15.2;73;0;5.6
16.5;77;0;10.8
18.8;70;0;7.1
20.0;66;0;10.4
19.4;85;12.5;7.5
13.0;79;0;7.4
13.5;95;69.4;9.9
11.6;92;0;6.5
12.9;85;0;6.9
11.9;77;0;7.2
13.6;76;0;8.1
12.5;74;0;7.6
13.7;84;0;3.3
14.2;79;0;4.2
13.8;67;0;6.3
14.6;81;0;4.8
12.8;89;0;6.4
9.1;72;0;7.6
9.3;70;0;9.8
9.7;94;11.8;5.1
9.4;90;0;4.8
9.9;91;0;5.2
11.9;87;0;2.3
14.0;89;0;9.5
15.2;73;0;10.0
15.8;76;0;8.0
10.4;66;0;7.6
11.2;75;0;10.6
17.2;78;0;7.3
20.0;82;0;10.6
14.2;94;0;7.7
17.1;92;0;7.5
16.1;89;0;7.8
14.4;93;0;8.4
10.8;89;6.0;7.3
10.8;98;15.0;8.5
10.9;88;0.3;5.0
10.9;87;0;6.4
6.8;88;0;8.4
4.6;76;0;3.9
6.7;70;0;4.8
9.0;63;0;6.2
9.7;61;0;11.1
6.9;58;0;9.7
5.5;56;0;3.5
7.7;54;0;2.9
4.6;69;0;4.8
6.7;63;0;5.4
9.1;68;0;3.7
9.1;63;0;2.5
11.8;61;0;2.6
11.7;64;0;7.3
13.0;60;0;7.7
16.9;65;0;8.1
16.2;83;0;9.6
17.4;85;0;6.0
17.0;67;0;10.7
16.9;98;2.1;7.9
19.1;95;11.9;12.2
13.4;69;2.2;7.8
10.8;81;0;8.6
12.6;89;0;7.8
8.2;80;0;7.6
6.6;84;0;4.1
9.0;78;0;3.0
9.8;81;0;8.2
11.8;73;0;8.7
14.6;78;0;16.3
20.2;76;10.7;15.0
11.7;62;0;6.0
13.6;62;0;6.6
14.5;77;0;7.5
12.2;80;0;11.5
6.8;77;0;6.9
5.8;77;0.3;11.6
4.6;93;21.4;12.2
7.9;78;0;5.2
10.3;61;0;6.4
7.2;63;0;8.6
12.4;60;0;8.8
15.8;56;0;10.2
15.8;71;0;7.3
12.5;97;0;5.1
15.1;94;0;8.7
18.1;84;0;10.0
20.2;80;0;9.1
25.4;77;0;14.2
14.2;63;0;6.8
12.8;50;0;13.1
12.5;84;0;5.2
11.4;95;4.2;7.0
12.4;82;0;11.5
12.8;89;0;13.5
9.8;65;0;13.0
8.1;60;0;5.3
7.1;65;0;6.1
7.5;61;0;4.9
8.7;66;0;8.1
11.9;74;0;7.8
12.4;79;0;9.9
11.6;76;0;12.5
12.8;83;0;9.6
12.0;69;0;5.3
14.0;70;0;5.3
13.7;57;0;5.8
12.4;49;0;6.7
12.4;58;0;14.2
14.4;45;0;15.1
21.7;53;0;9.7
15.4;72;0;11.6
12.4;46;0;5.0
13.5;41;0;8.6
15.9;38;0;7.7
16.7;46;0;5.2
16.4;49;0;9.4
18.7;54;0;9.0
14.6;51;0;9.3
20.3;45;0;7.5
16.7;41;0;14.6
16.2;38;0;16.1
19.0;64;0;12.2
19.9;79;7.9;13.1
15.8;74;0;11.9
12.9;78;0;6.5
13.6;73;0;3.1
16.2;73;0;3.7
17.7;58;0;9.6
18.0;59;0;9.2
11.9;89;0;6.5
15.2;72;0;10.3
18.1;70;0;8.6
22.1;59;0;7.5
22.0;62;0;12.6
21.9;66;0;11.7
23.4;56;0;9.6
15.6;71;0.5;7.1
15.4;92;0;4.6
17.9;59;0;7.3
13.5;61;0;10.1
11.5;93;21.5;4.9
15.0;82;0;7.0
19.6;75;5.7;13.5
18.7;91;42.4;9.7
16.9;89;0;8.2
16.6;79;2.0;7.5
16.0;78;0;5.5
19.2;73;0;11.7
18.8;90;14.6;11.2
15.3;91;0;9.6
18.2;75;0;5.2
19.9;59;0;3.1
22.0;64;0;5.8
18.5;63;0;10.2
19.9;67;1.0;9.1
18.7;70;0.5;6.6
20.8;63;0;8.7
21.4;59;0;6.2
19.5;85;23.9;9.4
15.1;95;1.0;4.6
18.8;93;40.0;8.6
16.9;88;3.1;8.5
15.3;73;0;6.2
14.9;52;0;4.0
20.4;56;0;8.4
18.2;78;5.6;5.8
17.5;58;0;7.2
16.8;48;0;10.4
17.7;60;0;13.1
20.8;66;0;11.2
22.8;61;0;12.1
24.1;64;0;10.0
26.3;66;0;8.7
25.1;69;0;8.7
26.0;68;0;11.5
26.3;67;9.8;15.8
24.0;83;42.2;9.8
17.1;50;0;7.1
19.1;52;0;7.4
22.4;53;0;10.4
21.7;54;0;7.8
20.9;65;0;5.4
20.9;50;0;6.1
23.6;48;0;7.0
24.1;48;0;7.8
24.4;54;0;8.9
25.7;64;37.4;9.4
21.7;90;4.0;6.0
19.6;87;26.0;9.1
21.0;61;0;6.6
21.8;63;0;7.5
24.2;63;0;5.6
25.0;64;0;4.4
26.2;64;0;5.8
