temperature;humidity;precipitation;windSpeed
22.1;82;4.5;4.7
24.7;73;0;5.5
26.9;65;0;6.7
27.9;81;3.0;5.8
29.6;78;42.3;8.6
22.0;71;0.2;9.1
19.8;66;0;8.1
22.6;73;0;4.0
26.4;86;56.7;4.4
26.3;79;0;5.1
26.0;77;0;11.9
20.3;67;27.5;8.8
20.2;69;0;2.7
24.3;70;0;4.3
23.8;74;0;5.1
24.7;70;0;4.6
26.2;67;0;6.6
24.4;88;72.7;8.5
23.5;83;0;5.4
26.2;72;0;3.8
26.9;70;0;2.9
26.6;73;0;4.3
25.9;57;0;5.7
26.2;62;0;5.1
27.6;70;0;6.0
26.9;63;15.5;4.5
27.8;72;0;4.0
27.4;68;0;4.9
27.9;68;0;7.0
27.6;77;0;6.2
24.8;89;0;4.7
24.3;93;6.4;5.4
26.9;91;35.7;10.1
27.5;72;33.5;11.2
21.8;93;21.4;5.7
24.8;93;19.5;3.9
23.0;91;67.6;13.3
27.5;84;0;6.8
25.9;76;0;5.3
25.0;74;0;6.6
26.5;79;0;3.6
28.4;67;0;4.7
28.5;67;0;5.8
27.2;87;8.6;6.9
24.1;84;0;5.6
22.6;97;29.8;5.9
22.0;83;0;6.3
21.8;82;0;8.3
25.2;82;0;9.2
29.1;82;20.8;8.8
24.2;93;108.2;4.8
25.5;90;0;4.2
28.2;87;3.3;5.5
23.5;80;0;5.5
20.4;72;0;4.6
18.7;63;0;4.7
20.2;72;0;3.1
21.3;70;0;5.5
22.6;64;0;5.6
23.9;70;0;4.5
25.0;79;49.5;5.3
23.1;82;0;2.2
24.7;80;0;3.0
26.3;73;0;3.6
26.9;69;0;4.7
25.9;73;0;6.4
24.9;73;0;5.4
25.5;82;2.1;5.1
26.0;86;0;4.3
23.4;72;0;4.6
21.4;81;0;3.6
20.7;85;0;5.5
22.2;68;0;6.3
20.3;63;0;3.8
22.6;61;0;8.5
24.6;66;0;8.9
24.4;98;124.3;6.1
22.5;92;3.9;3.7
24.7;83;0.5;5.6
22.3;89;8.3;6.9
20.5;74;0;2.5
20.2;60;0;2.8
22.6;62;0;4.8
21.7;64;0;8.3
21.9;77;0;7.6
24.9;82;0;5.7
25.1;77;0;5.9
24.5;71;0;3.6
25.5;74;0;4.2
24.8;68;0;6.8
24.2;77;0;5.6
16.0;91;22.4;7.8
17.7;83;0;7.6
15.5;75;0;6.4
15.1;70;0;5.8
16.4;71;0;8.0
17.8;69;0;7.0
18.8;70;0;6.3
19.8;68;0;8.3
19.7;66;0;8.4
21.7;65;0;5.5
22.2;66;0;7.2
18.0;88;2.3;11.6
13.3;92;37.4;6.4
15.0;83;0;3.8
16.2;73;0;8.2
19.8;77;0;7.6
25.7;77;0;6.0
25.2;69;0;8.6
20.9;74;0.2;8.4
18.6;74;5.6;5.7
16.6;63;0;6.0
13.0;70;0;6.6
13.2;72;0;5.7
14.1;83;0;7.9
15.8;82;0;4.6
15.7;69;0;4.7
16.7;67;0;3.0
17.6;75;0;2.9
17.4;74;0;4.0
19.1;68;0;5.5
18.4;80;0.6;4.8
18.9;89;0.9;4.5
