temperature;humidity;precipitation;windSpeed
25.0;61;0;6.1
26.4;56;0;4.9
28.2;46;0;8.2
24.8;42;0;6.2
26.4;39;0;3.5
27.6;42;0;6.2
28.0;48;0;7.9
27.4;50;0;7.3
30.4;53;0;11.0
29.3;59;0;14.0
21.5;90;21.2;6.1
24.8;68;0;7.9
22.4;49;0;7.6
23.6;55;0;4.9
24.0;57;0;3.8
26.0;53;0;3.8
26.9;51;0;5.7
28.8;48;0;5.2
29.6;49;0;4.6
30.4;50;0;5.0
26.3;75;0;3.8
27.3;66;0;5.0
28.9;65;2.6;8.1
24.8;81;17.6;9.4
22.2;65;0;8.6
22.2;59;0;6.5
23.6;54;0;8.4
24.6;56;0;7.9
29.0;54;0;8.6
31.8;46;0;7.7
26.9;81;5.1;5.4
24.7;85;0;7.8
24.2;87;0;6.0
26.4;80;0;5.8
28.9;78;0;5.6
24.5;93;80.7;8.7
28.7;80;0;6.0
28.2;77;0;10.8
23.9;90;35.0;8.4
22.9;83;0;7.2
20.9;66;0;4.3
21.9;57;0;4.0
25.2;56;0;7.3
24.4;54;0;5.7
28.4;48;0;6.1
29.1;51;0;6.0
30.5;62;0;7.5
30.3;60;0;8.9
31.8;52;0;8.7
27.6;74;0;7.1
25.5;81;22.3;8.0
23.2;84;2.4;8.6
22.2;72;0;4.9
21.1;68;0;6.2
21.6;67;0;6.8
24.5;70;0;6.3
22.0;72;3.6;6.8
24.2;55;0;9.3
22.4;76;0.8;12.7
20.1;93;87.9;8.1
19.0;79;0;5.2
20.9;70;0;5.2
24.3;71;0;6.0
27.0;69;0;11.0
28.8;68;22.6;10.7
21.4;91;22.8;4.5
23.3;82;0;4.3
26.6;81;0;7.0
27.1;78;0;8.5
28.0;77;0;7.1
29.8;67;0;8.2
30.2;69;0;10.4
20.4;94;25.5;5.0
21.2;77;0;5.0
18.5;63;0;4.6
20.2;72;0;6.3
22.2;65;0;6.2
25.7;68;0;8.3
28.0;71;0;10.3
22.4;88;30.9;5.2
22.1;89;2.4;4.2
20.4;82;0;7.0
16.7;72;0;5.1
17.9;65;0;6.3
21.3;76;0;5.3
17.9;83;0;10.0
13.5;71;0;6.8
14.8;56;0;8.8
19.8;54;0;3.8
21.3;46;0;6.2
22.0;81;0;9.6
22.4;54;0;8.0
22.7;64;0;5.6
23.7;63;0;6.6
26.1;69;0;10.4
20.9;64;19.6;5.5
18.1;59;0;3.5
21.4;68;0;5.2
24.4;66;3.5;8.8
21.2;73;0;8.9
22.4;81;0;5.6
22.2;83;0;4.2
23.2;77;0;4.5
21.2;86;0;4.7
21.0;83;0;5.7
20.8;77;0;5.0
21.0;69;0;5.8
22.5;68;0;7.3
20.8;78;0;4.6
22.4;76;0;4.0
21.8;75;0;5.2
19.3;63;0;6.4
15.0;62;0;7.2
15.7;68;0;7.1
11.2;77;0.1;6.4
11.8;69;0;5.2
13.5;74;0;6.2
11.3;61;0;5.4
10.1;94;7.0;4.5
10.0;90;0.2;3.0
12.3;76;0;6.7
13.6;69;0;12.8
15.7;62;0;9.8
17.5;70;0;8.4
19.6;71;0;6.7
21.3;64;0;7.4
21.2;72;0;11.8
22.0;71;0;8.1
21.8;74;0;7.5
22.9;67;0;9.0
17.9;82;3.3;4.0
14.4;78;0;4.9
11.0;61;0;4.6
13.5;65;0;4.6
15.7;58;0;5.9
17.6;56;0;10.6
19.3;71;0;10.5
19.5;73;0;10.4
15.9;92;21.6;9.6
16.6;91;0;5.9
17.5;94;0.3;3.2
19.0;98;12.0;4.5
17.1;100;74.3;6.1
16.2;99;3.3;5.9
16.4;91;0;4.1
16.8;91;0;6.4
17.7;90;0;8.0
18.3;92;0;4.4
20.9;92;0;4.1
21.5;80;0;8.7
14.8;57;0;2.7
15.0;61;0;4.4
15.7;64;0;8.9
16.7;64;0;5.4
12.5;62;0;7.2
9.3;69;0;7.3
9.5;74;0;6.8
4.6;61;0;10.4
4.6;53;0;2.1
6.9;56;0;4.1
7.6;55;0;7.4
13.2;58;0;4.4
12.3;83;0;11.3
16.7;84;0;9.6
22.4;83;0;5.2
20.3;90;0;6.4
15.3;95;0;11.8
9.7;77;0;7.7
7.6;90;8.2;8.5
8.6;96;0.5;3.4
9.6;91;0;1.7
11.1;84;0;5.3
12.8;85;0.2;2.5
12.2;60;0;5.2
14.7;72;0;9.1
15.6;73;0;6.6
12.7;87;0;8.2
15.3;79;0;8.2
19.7;77;0;11.8
22.2;85;0;6.7
17.6;94;0;5.8
18.2;91;0;6.6
24.0;76;0;8.8
16.6;75;0.2;15.2
9.1;77;4.4;3.5
8.9;96;0.4;4.4
8.2;69;0.2;6.9
7.0;57;0;4.4
8.0;55;0;11.5
11.0;50;0;11.6
10.8;64;0;4.3
10.4;65;0;10.2
6.9;70;0;3.9
10.0;61;0;3.2
12.6;58;0;6.4
8.3;61;0;5.0
6.9;71;2.4;3.7
7.1;71;0;5.0
9.3;61;0;3.5
10.9;60;0;6.5
13.6;59;0;8.0
15.8;56;0;8.6
15.6;57;0;7.2
12.3;61;0;7.6
14.5;69;0;6.8
11.2;69;0;9.1
7.9;51;0;4.8
11.2;67;0;6.1
9.2;65;0;7.7
13.0;53;0;9.0
9.5;44;0;8.6
7.4;42;0;9.5
7.4;78;0;3.0
10.5;82;0;7.5
16.0;86;0;10.3
12.7;93;0;16.3
12.3;82;0;9.7
11.9;89;0;5.9
12.1;86;0;8.3
13.8;92;2.2;5.4
11.2;81;0;4.0
18.3;54;0;5.6
20.1;52;0;10.6
24.4;64;9.6;15.1
13.4;72;11.4;7.8
11.1;60;0;11.0
15.9;88;7.5;8.0
19.4;90;22.1;9.4
20.0;82;0;10.9
14.0;89;45.2;8.6
14.1;95;12.0;2.2
14.9;79;0;7.8
15.3;98;12.6;7.7
14.9;84;0.2;8.0
21.2;69;0;21.3
19.1;71;0;17.3
11.5;81;10.9;11.2
7.6;73;0;4.8
9.1;68;0;4.8
8.0;71;0;5.4
10.7;69;0;6.7
12.4;68;0;10.6
17.0;74;0;5.5
19.2;64;0;6.0
21.6;63;0;6.4
23.7;68;0;11.3
17.2;65;0;15.0
19.1;81;0;11.4
13.4;97;14.2;9.5
14.4;98;12.6;5.4
15.5;97;6.5;4.8
17.0;84;0;5.3
15.8;84;0;6.1
15.2;74;0;6.7
17.7;72;0;5.9
18.7;69;0;4.0
18.1;65;0;9.9
18.9;64;0;7.8
24.9;77;0;7.0
23.5;79;0;7.5
19.4;91;0;10.5
13.5;93;41.7;19.0
13.1;73;5.0;7.4
14.0;73;0;3.6
14.8;65;0;4.6
15.0;51;0;5.7
16.2;58;0;8.9
16.9;71;0;8.9
8.3;69;0;7.2
9.7;56;0;6.9
12.6;57;0;12.5
16.3;69;0;7.6
18.5;59;0;5.1
20.1;66;0.5;7.5
20.7;76;3.0;6.9
16.1;92;9.3;11.5
17.6;83;0;6.2
16.2;81;0;9.8
20.7;79;0;9.0
20.1;95;60.8;5.8
18.8;97;29.4;6.6
18.8;99;6.0;7.4
19.0;94;9.0;11.5
13.0;86;0;6.4
14.5;75;0;6.9
16.7;69;0;8.6
19.6;71;0;9.0
22.5;67;0;11.0
19.3;85;37.3;6.3
15.9;83;0.1;8.6
17.1;83;0;6.3
18.6;72;0;7.9
20.1;74;0;12.6
18.4;86;30.9;8.0
21.5;81;0;8.7
18.7;81;42.5;13.5
16.2;75;0;7.0
16.7;68;0;3.2
20.6;61;0;5.6
22.4;56;0;7.3
25.2;64;0;5.7
24.5;78;0;8.2
22.8;90;6.6;8.4
21.0;80;0;6.9
20.7;75;0.6;4.3
21.6;70;0;5.4
