temperature;humidity;precipitation;windSpeed
29.1;80;0;8.3
29.6;83;10.0;8.5
22.5;70;21.2;5.4
22.5;62;0;7.9
24.3;68;0;7.4
25.3;83;18.4;10.3
23.8;77;0.4;5.9
24.4;81;0;6.3
23.4;92;87.5;16.5
21.1;90;5.6;0.4
20.6;75;0;5.5
24.7;83;0.5;2.5
24.7;88;16.5;8.6
24.0;83;0.5;4.9
23.6;87;37.9;6.9
24.5;72;0;5.1
23.2;84;4.9;10.5
19.0;83;10.3;6.3
19.6;72;0;6.1
22.0;74;0;6.0
24.6;75;0;5.4
27.3;72;0;9.4
25.5;93;68.7;8.8
26.5;79;0;12.5
27.5;86;0;10.9
23.4;97;55.0;3.6
30.0;80;0;4.5
29.3;81;0;7.7
31.1;74;0;8.2
25.7;91;27.2;6.0
23.9;90;0;4.0
25.3;83;0;3.1
25.5;75;0;7.5
20.1;63;0;6.0
22.3;67;0;6.6
22.0;60;0;6.4
24.2;61;0;6.6
25.7;64;0;6.4
28.1;61;0;5.5
28.6;71;0;2.8
28.3;79;0;6.8
23.6;79;26.4;11.2
17.4;70;0;8.8
18.8;63;0;5.9
21.0;74;0.8;4.3
21.6;76;0;6.3
24.4;68;0;6.4
26.6;68;0;6.3
27.3;67;0;4.6
28.6;65;0;3.7
29.1;63;0;7.8
29.5;67;0;9.3
29.7;66;0;8.6
26.2;87;29.9;8.1
22.3;85;73.3;3.9
21.0;84;4.0;4.7
17.6;56;0;7.2
19.4;51;0;4.5
23.4;66;0;5.5
24.6;61;0;7.9
23.0;69;0;8.7
24.6;65;0;8.6
22.3;90;62.1;8.2
22.5;85;5.3;3.3
25.4;77;0;5.4
27.6;84;0;8.5
22.0;83;66.9;7.3
17.4;76;0;7.1
18.9;74;0;7.1
18.1;83;0;4.9
19.2;82;0;5.0
19.6;78;0;4.1
21.8;69;0;5.3
22.0;77;0;4.8
22.4;81;0.2;4.6
22.2;90;23.3;5.1
22.9;79;0;4.7
20.8;78;0.2;9.6
