temperature;humidity;precipitation;windSpeed
23.1;74;0;13.6
16.6;72;0;10.5
16.1;52;0;6.6
19.5;46;0;11.6
24.4;56;0;10.5
19.9;45;0;13.4
16.7;45;0;10
12.7;44;0;8.5
10.7;88;0;7.9
14.8;71;0.5;6
16.3;60;0;5.9
20.5;49;0;4.6
21.6;46;0;5
19.9;38;0;9.6
19.5;40;0;10.4
19.3;45;0;6.3
17.1;57;0;6.9
20.6;47;0;6
21.4;47;0;4.6
22;54;0;6.3
23.4;54;0;8
26.9;60;0;7.9
29.4;55;0;11.6
29.5;61;11.6;10.7
17.3;82;20.7;10.5
16.8;77;0;9.4
22.1;76;0;6.7
21.8;88;0;6.5
24;79;12.6;10.4
22;90;38.8;11.7
18.2;56;0;8.9
18.1;46;0;7.2
18.1;65;0;10.3
15;62;0;9.2
14.7;61;0;5.4
18;51;0;5.9
19.5;50;0;7.1
20.2;48;0;7.5
21.3;49;0;9.9
20;50;0;11.4
20;43;0;0.4
22.2;49;0;15
24.5;57;0;7.4
22.6;64;0;4.6
21.9;76;6.3;6.5
22;63;0;7
22.9;60;0;5.6
24.6;50;0;6.4
23.4;42;0;8
20.9;82;16.2;6.8
21.6;65;0;6.9
23.2;48;0;6.3
22.3;44;0;4.9
22.7;63;0;5.2
22.4;57;0;7.5
23.2;45;0;7.9
22.8;51;0;7.2
25.6;39;0;10.7
26.8;38;0;11.7
31.8;34;0;13.2
26.4;75;5.5;6.3
24.1;55;0;8.5
25.5;47;0;10.4
22.7;86;53.2;6.1
22.3;80;0.5;6
22.1;52;0;6.4
24.2;67;0;8.8
21.8;90;55.8;8.6
22.6;75;0;5.9
19.2;66;1;7.8
18;55;0;6.1
19.3;51;0;5.9
22;51;0;7.8
23.9;52;0;5.5
26.4;54;0;7.1
26.3;52;0;15.3
24.9;45;0;10.1
19.2;80;33.3;11.9
19.2;87;0.5;4.5
19.2;63;0;8.8
22.8;69;0;5.5
22.5;54;0;5.5
25.1;49;0;5.8
27;59;20.1;11.8
23.4;71;3.4;10.9
19.8;55;0;8.2
22.3;43;0;6
23.5;43;0;6.9
25;44;0;7.6
26.6;51;0;7.3
27;66;0;3.7
28.5;65;0;6.3
27.4;62;0;6.9
29.1;65;0.6;6.9
28.8;62;0;4.5
23.7;70;2.1;9.4
20.4;47;0;4
