temperature;humidity;precipitation;windSpeed
24.2;47;0;6.2
27.4;44;0;10.1
25.8;46;0;4.9
28;51;0;5.3
25.3;62;0;12.5
22.9;68;0;5.4
24.2;52;0;3.4
28.8;41;0;7.5
25.2;57;0.6;5.6
27.5;58;0;9
24.2;92;25.7;8.5
22.8;68;0;6.6
23.6;57;0;9.4
25;60;0;8.6
23.9;86;43.6;6.2
21.5;86;0;11
19.8;64;0;9
22.4;48;0;3.4
23.8;50;0;6.7
25.7;49;0;8.5
25.4;60;0;7.7
27.4;67;0;7.3
28.6;67;0;6.4
29.1;68;0;6.8
29;78;4.2;5.6
24.2;91;30.5;4.1
27.2;70;0;5.4
26.6;74;0;8.7
22.3;84;14.6;5.6
21.3;93;52.1;10.6
19.2;91;6.7;6.9
22.1;85;1.6;5.8
19;93;19;7.2
22.3;85;0;7.1
22;79;0;5.9
22.4;67;0;4.2
24.3;53;0;4.4
25.3;61;0;3.9
25.7;68;0;8
22.7;79;0;6.3
21.7;89;0.2;4.5
23.7;81;0;3.8
24.3;77;0;3.7
23.8;79;0.4;3.5
24.4;78;0.3;4.3
24;80;0;6.4
21.7;78;0;5.7
21.1;62;0;4.5
24.9;59;0;3.6
21.9;75;0;6.1
23.1;53;0;5.6
25.4;62;0;5
29.1;69;0;4.5
25.5;71;0;5.3
24.8;55;0;4.3
25.4;48;0;5.1
25.8;55;0;7.4
26.3;59;0;7.6
28.3;61;0;7.7
27.8;58;0;5.7
26.5;73;0;5.4
27.2;78;18.5;5.3
23.5;92;9.7;5
24.3;81;0;6.1
21.5;66;0;4.2
22.6;59;0;3.2
24.3;64;0;4.6
25.1;71;0;4.8
25.1;64;0;4.9
25.4;66;0;4.7
24.7;75;0;3.6
26.8;71;0;5.5
24.6;60;0;7.4
23.7;66;0.9;7.2
22;86;15.4;9
20;83;0;9.2
16.8;70;0;4.5
18.4;74;0;4.9
18.9;96;46.9;4.6
19.5;77;0;6.3
19;89;0.2;4.2
21.9;71;0;5.3
24;86;21.5;6.8
22;96;39.4;4.6
21.1;89;0;11.5
18.6;83;0;7
17.2;90;0.5;6
19.6;82;0;4.2
20.5;69;0;4.4
20.6;71;0;7
20.3;64;0;6.6
20.3;66;0;5.8
21.7;68;0;6.5
22.7;66;0;5.3
22.6;80;0;5.2
23.7;75;0;5.2
24.7;71;0;8.9
26.2;73;0;10.4
22.8;97;94.3;9.4
20;99;100.4;11.1
17.4;84;0;5.7
18.1;73;0;2.6
19.9;68;0;5.9
19.7;69;0;5.5
23.7;73;0;4.1
24.1;74;0;4.9
23.1;79;0;7.8
22.9;77;0;9.4
22;74;0;10.8
22;70;0;12.5
20.2;80;14.1;10.6
21.9;75;0;5.8
20.2;90;1.5;5.8
18.5;79;0;7.1
13.8;73;0;4.5
16.5;75;0;2.1
17.4;74;0;3.6
17.3;70;0;3.9
17.5;71;0;6.6
17.2;69;0;7.7
20.8;64;0;9
22.6;71;0;8.4
25.3;77;0;11.5
18.6;59;0;11.4
13.2;69;0;4.5
12.1;62;0;3.3
13.2;56;0;7.5
14.2;67;0;9.9
15.1;77;0;3.2
15.6;81;0;7
11.9;59;0;3.2
12.6;56;0;5.6
12.8;70;0;6.1
12.4;62;0;6.1
16.3;58;0;3.5
17.5;59;0;2.5
17.4;61;0;6.2
15.9;66;0;9.3
15.9;71;0;8.1
13.7;98;42.4;9.4
13.4;98;20.3;7.2
11;87;3.9;11.7
12.8;82;0;5.9
11.9;68;0;6.8
15.1;62;0;3.9
15.4;69;0;3.9
17.3;68;0;7.9
17.9;72;0;6.7
13.3;58;0;6.4
12.5;64;0;5.1
15.1;57;0;7.7
16.1;56;0;6.2
16.5;69;0;6.7
15.5;67;0;10
21.5;76;0;9.2
17.6;87;19.8;8.1
11.9;61;0;10.8
12.5;87;0;4.5
15.6;86;0;5.9
16.3;88;0;4.7
17.3;80;0;6.7
12;59;0;4.8
16.6;77;0;10.9
17.7;72;0;8.4
16.3;78;0;10.9
9.5;74;0;6.5
7;76;0;4.7
