temperature;humidity;precipitation;windSpeed
26.7;71;0;7.9
27.4;73;0;8.8
26.5;81;10.9;9.3
27.2;88;14.0;7.3
24.8;79.8;0;8.5
25.0;71;0;6.4
23.4;62;0;6.6
24.5;69;0;4.6
24.0;62;0;6.5
26.1;73;0;6.2
26.3;68;0;5.3
26.2;75;5.5;7.1
25.0;78;0;7.1
26.4;56;0;5.9
26.5;56;0;7.1
26.9;54;0;6.5
27.0;69;0;5.5
27.9;67;0;8.7
28.5;56;0;6.7
30.8;55;0;8.5
29.6;57;0;8.4
29.9;63;0;8.1
31.8;60;0;5.9
29.9;61;0;13.3
23.8;76;25.5;4.4
25.2;65;7.1;7.1
23.0;59;0;7.4
25.6;61;0;6.2
26.8;72;1.2;4.4
23.2;85;6.0;5.5
24.3;72;0;7.8
21.9;57.0;0;6.9
22.5;59.0;0;5.2
24.3;64.0;0;5.2
26.0;58.0;0;5.3
27.7;70.0;0;5.0
29.3;58.0;0;6.1
28.6;77.0;0.5;11.7
24.7;95.0;70.7;5.3
26.1;78.0;0;5.1
27.5;64.0;0;5.3
27.6;71.0;0;6.4
28.9;76.0;0;9.2
26.0;88.0;2.4;4.3
26.4;74.0;0;3.7
28.4;75.0;0.2;5.6
26.6;83.0;0;11.1
23.4;95.0;52.0;3.8
24.8;77.0;0;10.4
22.7;86.0;94.7;7.7
23.6;90.0;0;6.8
26.2;73.0;0;6.5
28.0;70.0;0;7.0
27.3;66.0;0;4.1
27.4;66.0;0;4.3
25.2;73.0;0;7.8
21.8;95.0;81.2;6.8
20.2;53.0;0;4.9
21.5;54.0;0;7.2
23.0;62.0;0;7.6
21.7;86;21.5;8.4
21.5;79;0;5.5
22.7;73;0;5.2
24.1;72;17.0;4.8
19.4;86;0.4;5.3
19.4;68;0;6.2
20.5;67;0;4.3
20.6;69;0;3.4
20.6;77;0;7.2
16.6;83;0;6.9
20.2;79;0;4.8
19.5;69;0;6.2
19.8;67;0;7.3
21.4;67;0;6.6
24.5;64;0;6.7
26.3;63;0;7.8
27.3;68;0;11.2
22.4;94;48.7;9.5
17.0;87;7.4;6.5
14.2;94;12.5;4.9
18.1;93;0.3;1.9
20.8;77;0;3.0
21.3;66;0;5.4
22.7;63;0;6.6
20.7;80;0;6.8
19.7;84;0;5.6
19.7;80;0;4.0
21.8;69;0;2.8
22.6;71;0;5.9
22.8;67;0;8.3
24.9;66;0;7.9
25.1;86;45.1;10.6
23;91;10.2;3.3
21.9;89;0.5;7.6
21.3;96;15.3;6.3
20.55;98;25.5;8.1
20.9;91;15;5.4
21.2;93;14.4;6.7
20.95;97;34;6.7
19.35;97;0.7;8.2
17.05;95;16.9;8.4
17.05;96;2.8;7.4
17.85;96;21.7;7.1
22.3;88;0;3.2
23.4;91;0.9;10.2
27.45;83;0.2;11.1
26.85;83;32.2;7.1
20.95;94;1.5;8.8
16.6;93;30.2;5.7
15.9;91;20.6;6.7
16.1;86;7;5.1
18.95;69;0;5.9
18.6;68;0;6.6
20.25;83;0.2;4.5
20.4;81;0;12.8
13.95;89;6.3;12.2
11.35;72;0;9.2
9.6;75;0;4.4
11.4;63;0;1.7
12.4;69;0;3.6
12.65;71;0;5.9
12.2;78;0;5.9
14.6;79;0;2.2
15.0;77;0;5.5
15.1;76;0;4.5
14.5;74;0;7.3
15.7;78;0;6.3
14.0;79;0;6.7
17.9;85;0;4.9
18.7;83;0;3.9
17.4;93;4.3;5.9
15.0;85;0;5.0
13.8;77;0;6.1
13.2;76;0;8.0
14.0;83;1.3;8.2
15.0;86;1.2;11.5
12.7;84;0.2;4.8
9.2;81;0.2;1.5
12.2;71;0;4.6
13.1;69;0;6.9
13.0;76;0;4.2
11.5;79;0;4.7
11.2;71;0;4.2
10.8;73;0;5.4
11.5;77;0;4.6
14.3;79;0;8.0
13.6;88;0;7.3
11.5;84;0;4.8
12.2;97;0.8;4.1
15.2;99;3.2;5.4
13.5;94;4.9;3.2
11.8;84;0;4.4
11.5;90;0.8;2.8
10.3;83;0;7.9
10.8;93;0;3.7
10.0;93;5.5;2.4
8.1;93;0;1.7
9.6;86;0;3.3
11.9;64;0;3.5
10.9;64;0;3.8
12.2;70;0;6.9
8.4;75;0;6.9
7.2;68;0;1.2
9.8;71;0;6.8
9.8;70;0;9.2
13.9;56;0;3.7
13.3;73;0;4.5
11.4;81;0;3.8
12.4;79;0;1.2
12.0;74;0;1.5
12.6;75;0;6.5
9.1;85;0;5.1
9.3;73;0;4.9
11.1;80;0;2.5
12.0;76;0;3.8
10.2;86;0;9.2
11.0;94;10.7;9.3
12.5;98;8.7;9.0
10.6;87;0;5.5
9.8;86;0;5.3
12.6;82;0;5.5
15.5;89;0;3.9
14.9;96;0.3;6.6
12.9;98;12.8;7.1
13.0;100;0.4;10.5
11.3;98;4.7;10.4
10.6;93;0.4;6.2
11.5;79;0;1.8
13.8;61;0;3.0
13.3;74;0;8.6
13.3;88;0;3.3
13.2;84;0;3.5
12.6;93;0.2;4.8
12.9;81;0;5.1
12.5;76;0;10.4
13.3;83;0;6.8
10.2;82;0;11.2
7.7;80;0;7.2
6.6;70;0;4.9
6.7;82;0;2.7
9.7;75;0;6.2
9.5;72;0;5.8
10.6;66;0;6.3
11.1;69;0;6.0
14.5;66;0;6.6
14.9;71;0;11.2
10.6;96;2.8;14.4
9.2;85;0;14.6
9.0;86;0;3.6
11.1;77;0;8.3
11.0;75;0;7.5
15.8;81;0;4.3
15.9;90;0;9.2
10.3;84;0;9.1
11.6;78;0;8.1
12.6;77;0;6.4
15.4;82;0;5.7
18.7;86;0;8.3
13.8;73;0.8;3.3
14.9;62;0;3.3
14.9;64;0;3.9
13.6;59;0;5.6
13.3;59;0;8.4
14.0;63;0;8.3
16.3;62;0;9.2
19.4;60;0;5.2
18.8;71;0;4.8
17.6;55;0;8.5
18.8;56;0;10.6
13.6;49;0;3.8
15.6;36;0;7.5
15.7;53;0;9.8
12.2;64;0;9.4
9.7;61;0;5.6
14.3;47;0;7.0
14.5;51;0;9.2
17.1;52;0;8.3
20.9;54;0;11.7
22.9;65;0;12.4
16.5;99;0;15.6
12.0;87;1.3;12.3
10.7;96;0;9.2
12.7;81;0;3.5
16.7;80;0;8.7
11.2;83;0;7.7
9.6;71;6.0;6.3
6.4;66;0;7.2
7.7;63;0;10.4
9.5;98;9.8;9.8
10.5;76;0;11.8
11.5;62;0;4.0
14.7;58;0;7.9
17.6;56;0;7.5
19.4;56;0;8.1
22.2;56;0;9.0
21.6;77;0.2;10.4
14.9;68;0;16.6
13.7;65;0;7.3
14.6;61;0;5.7
16.9;56;0;8.0
20.3;50;0;7.2
15.5;68;0;8.5
13.0;69;0;6.3
15.7;68;0;9.6
17.7;63;0;8.1
22.6;57;0;9.4
17.1;59;0.4;6.5
10.5;91;7.2;3.7
11.6;61;0;6.4
16.3;48;0;7.0
19.4;47;0;8.0
22.6;45;0;8.0
16.4;72;0.2;8.7
15.9;64;0;8.3
17.3;60;0;9.1
18.2;75;3.0;6.1
20.6;68;0;8.4
20.6;73;8.8;13.0
15.6;93;33.7;11.0
16.1;87;0;3.0
15.7;81;0;5.7
14.4;54;0;6.4
16.7;49;0;7.9
16.3;65;0;7.1
18.0;66;0;6.3
21.6;84;3.0;7.0
19.9;81;0;6.7
22.2;70;0;8.4
21.3;85;16.5;8.6
22.8;83;3.0;7.9
20.5;60;0;9.9
16.6;87;1.3;8.7
17.6;93;35.7;10.3
15.1;88;0.9;6.3
14.8;81;0;4.3
17.7;71;0;7.3
21.1;66;0;6.5
20.5;88;0;7.0
20.7;95;11.9;8.3
18.8;87;1.5;14.5
14.7;65;0;8.8
14.8;68;0;4.5
17.2;67;0;9.2
20.1;65;0;6.6
24.0;69;0;8.0
17.6;80;49.0;14.2
14.1;60;0;3.6
18.7;48;0;7.6
23.3;54;0;5.6
22.8;60;0;8.4
24.5;56;0;6.5
25.3;70;0;8.8
23.3;78;0;4.7
25.6;78;1.7;4.8
20.7;66;4.8;5.4
20.1;57;0;5.0
20.4;56;0;10.1
20.4;61;0;6.6
22.8;64;0;4.6
24.0;69;0;7.1
18.8;81;5.0;7.7
15.7;54;0;8.5
15.1;54;0;4.9
17.1;67;0;6.8
21.6;60;0;6.4
18.6;59;0;7.2
16.4;60;0;5.2
20.5;48;0;4.8
22.6;49;0;6.2
25.1;49;0;8.8
26.2;78;52.4;7.5
22.8;81;0;4.1
22.4;74;0;6.4
22.0;59;0;6.1
23.3;54;0;7.3
23.8;53;0;5.4
25.3;76;0.2;2.7
25.5;74;0;4.5
25.1;68;0;8.5
25.3;69;0;6.3
23.6;44;0;4.7
26.1;55;0;4.0
22.6;64;2.0;7.3
19.8;53;0;4.8
23.6;56;0;4.1
25.2;50;0;5.7
27.1;54;5.5;6.8
23.0;60;3.1;6.5
19.5;50;0;5.4
21.3;47;0;9.8
23.4;44;0;9.7
27.0;59;0;10.3
25.2;84;16.3;7.2
22.6;51;0;5.3
24.3;48;0;5.7
