temperature;humidity;precipitation;windSpeed
28.8;70;0;4.4
24.6;88;21.3;7.1
20.3;63;0;4.2
23.5;56;0;5.2
24.1;55;0;5.1
27.5;64;0;7.2
29.5;74;0.6;6.2
24.5;76;0;5.4
27.7;70;0;6.3
27.0;73;0;7.2
22.7;60;0;8.7
19.5;59;0;6.5
24.7;66;0;5.6
27.0;65;0;4.7
28.1;59;0;4.8
28.4;58;0;4.6
29.0;57;0;5.3
30.4;60;0;6.0
27.7;74;0.5;6.0
29.6;65;0;9.8
31.8;69;2.6;9.0
30.0;67;0;11.5
33.4;60;0;12.6
18.5;87;0;10.1
18.9;56;11.7;7.1
23.1;61;0;3.8
23.9;88;5.2;6.2
25.2;89;17.8;3.9
24.7;88;0;3.7
25.1;83;0;5.4
28.5;77;3.2;6.9
28.2;82;3.0;11.1
24.0;80;1.3;13.3
21.6;84;20.8;11.7
21.2;94;40.8;7.2
27.3;75;0;9.0
22.3;88;0;6.1
26.2;85;0;4.7
30.7;66;0;8.6
25.6;83;4.0;7.0
24.5;91;48.4;7.0
26.2;89;3.2;6.5
24.5;88;0.1;3.8
24.8;80;0;6.7
21.8;73;0;7.9
20.9;72;0;10.3
22.3;78;0;6.8
25.4;78;3.0;5.0
24.5;87;1.2;3.7
23.9;90;0;4.7
24.5;78;0;3.7
24.6;85;0;5.5
22.2;90;5.0;5.4
22.5;83;0;3.2
23.9;75;9.9;5.5
18.9;89;7.1;7.1
18.0;83;0;5.5
17.7;73;0;4.0
21.7;67;0;2.6
22.2;67;0;5.1
21.5;82;0;5.4
21.2;88;19.9;4.7
22.0;82;0;2.0
22.7;75;0;3.4
22.2;76;0;5.7
21.0;67;0;4.5
21.5;53;0;5.1
20.9;81;17.3;7.2
16.9;81;0.2;5.7
19.0;54;0;4.2
22.9;59;0;8.3
24.1;65;0;9.3
20.9;94;83.7;3.0
21.6;77;0;5.7
22.3;82;0;4.2
22.2;74;0;7.8
17.5;80;0.7;8.5
17.3;85;10.3;3.8
19.0;80;0;3.8
16.7;78;0;7.1
14.8;62;0;2.5
17.2;65;0;5.1
18.6;64;0;6.7
21.5;68;0;4.8
22.1;82;0;6.9
22.0;90;13.0;5.6
20.1;90;9.1;7.2
