Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area
public_bath,park,,,,,
parking,parking,3,1000,10,3,0
pet_store,pet_store,3,100,100,0,30
feed_store,pet_store,,,,,
pet_supply_store,pet_store,,,,,
pharmacy,pharmacy,3,70,100,4,0
physiotherapist,physiotherapist,3,90,80,0,30
kinesiologist,physiotherapist,,,,,
chiropractor,physiotherapist,,,,,
police,police,3,600,75,0,15
post_office,post_office,3,500,80,0,20
primary_school,primary_school,1,5000,80,0,8
prison,prison,1,50000,50,0,15
real_estate_agency,real_estate_agency,3,100,80,0,20
architecture_firm,real_estate_agency,,,,0,25
real_estate_agents,real_estate_agency,,,,,
restaurant,restaurant,2,250,80,0,30
school,school,3,500,90,0,50
educational_institution,school,,,,,
art_school,school,,,,,
language_school,school,,,,,
tutoring_service,school,,,,,
english_language_school,school,,,,,
music_college,school,,,,,
education_center,school,,,,,
cooking_school,school,,,,,
beauty_school,school,,,,0,12
drama_school,school,,,,,
secondary_school,secondary_school,1,6000,80,0,8
service,service,1,80,100,0,15
technical_service,service,,,,0,15
graphic_designer,service,,,,4,0
transportation_service,service,,,,6,0
electrician,service,,,,2,0
architect,service,,,,2,0
photographer,service,,,,2,0
blacksmith,service,,,,,
advertising_agency,service,,,,0,20
auto_wrecker,service,,,,,
computer_repair_service,service,,,,,
taxi_service,service,,,,4,0
shipping_service,service,,200,80,0,30
repair_service,service,,,,,
security_system_supplier,service,,,,0,20
tax_preparation,service,,,,,
website_designer,service,,,,0,12
party_planner,service,,,,,
computer_consultant,service,,,,,
internet_marketing_service,service,,,,,
consultant,service,,,,0,25
computer_support_and_services,service,,,,,
marketing_agency,service,,,,,
electrical_repair_shop,service,,,,,
photography_studio,service,,,,,
digital_printer,service,,,,0,20
carpenter,service,,,,0,40
party_equipment_rental_service,service,,,,,
distribution_service,service,,,,,
air_conditioning_contractor,service,,,,,
security_service,service,,,,,
gas_company,service,,,,,
bus_company,service,,,,,
event_planner,service,,,,,
photography_service,service,,,,,
air_conditioning_repair_service,service,,,,,
dating_service,service,,,,,
human_ressource_consulting,service,,,,,
business_management_consultant,service,,,,,
mailing_service,service,,,,,
desktop_publishing_service,service,,,,,
emergency_care_service,service,,,,,
book_publisher,service,,,,,
television_repair_service,service,,,,,
boat_repair_shop,service,,,,,
